symbol,name
ABR,ARBOR REALTY TRUST INC
ACR,ACRES Commercial Realty Corp.
AIRI,AIR INDUSTRIES GROUP
AMPG,"AmpliTech Group, Inc."
APDN,APPLIED DNA SCIENCES INC
BNET,BION ENVIRONMENTAL TECHNOLOGIES INC
BR,"BROADRIDGE FINANCIAL SOLUTIONS, INC."
BRT,BRT Apartments Corp.
BRTX,"BioRestorative Therapies, Inc."
CANB,Can B Corp
CVU,CPI AEROSTRUCTURES INC
CVV,CVD EQUIPMENT CORP
DCOM,"Dime Community Bancshares, Inc. /NY/"
DTST,Data Storage Corp
ENZ,ENZO BIOCHEM INC
ESQ,"Esquire Financial Holdings, Inc."
FEIM,FREQUENCY ELECTRONICS INC
FFIC,FLUSHING FINANCIAL CORP
FLG,"FLAGSTAR FINANCIAL, INC."
FLIC,FIRST OF LONG ISLAND CORP
FLWS,1 800 FLOWERS COM INC
FONR,FONAR CORP
FORD,"Forward Industries, Inc."
GIC,GLOBAL INDUSTRIAL Co
GYRO,"Gyrodyne, LLC"
HNVR,"Hanover Bancorp, Inc. /NY"
HSIC,HENRY SCHEIN INC
IDN,"Intellicheck, Inc."
IPM,INTELLIGENT PROTECTION MANAGEMENT CORP.
KIM,KIMCO REALTY CORP
LCUT,"LIFETIME BRANDS, INC"
LIXT,"LIXTE BIOTECHNOLOGY HOLDINGS, INC."
LOAN,"MANHATTAN BRIDGE CAPITAL, INC"
MOBQ,"Mobiquity Technologies, Inc."
MSM,MSC INDUSTRIAL DIRECT CO INC
NATH,"NATHANS FAMOUS, INC."
NBND,NetBrands Corp.
NSSC,"NAPCO SECURITY TECHNOLOGIES, INC"
NUMD,"Nu-Med Plus, Inc."
OHCS,"Optimus Healthcare Services, Inc."
OLP,ONE LIBERTY PROPERTIES INC
PRPH,"ProPhase Labs, Inc."
PSTL,"Postal Realty Trust, Inc."
PW,Power REIT
RANG,Range Capital Acquisition Corp.
REFR,RESEARCH FRONTIERS INC
RNGC,Ranger Gold Corp.
SCND,SCIENTIFIC INDUSTRIES INC
SPRS,SURGE COMPONENTS INC
STSS,Sharps Technology Inc.
UG,UNITED GUARDIAN INC
VASO,VASO Corp
VECO,VEECO INSTRUMENTS INC
VOXX,VOXX International Corp
VRNT,VERINT SYSTEMS INC
XAIR,"Beyond Air, Inc."
