Name,Symbol,Current price,Change,Percent change,High price of the day,Low price of the day,Open price of the day,Previous close price,Date and time
ARBOR REALTY TRUST INC,ABR,12.08,0.27,2.2862,12.11,11.88,11.88,11.81,2025-08-12 11:57:52
ACRES Commercial Realty Corp.,ACR,19.82,0.34,1.7454,19.9,19.45,19.45,19.48,2025-08-12 11:33:46
AIR INDUSTRIES GROUP,AIRI,3.35,0.02,0.6006,3.3818,3.32,3.32,3.33,2025-08-12 11:47:06
"AmpliTech Group, Inc.",AMPG,3.605,0.315,9.5745,3.66,3.19,3.27,3.29,2025-08-12 11:57:15
APPLIED DNA SCIENCES INC,APDN,4.07,-0.18,-4.2353,4.245,4.04,4.22,4.25,2025-08-12 11:56:15
BION ENVIRONMENTAL TECHNOLOGIES INC,BNET,0.18,0.01,5.8824,0.18,0.146,0.146,0.17,2025-08-10 20:00:00
"BROADRIDGE FINANCIAL SOLUTIONS, INC.",BR,263.44,-0.03,-0.0114,263.53,260.96,263.265,263.47,2025-08-12 11:57:48
BRT Apartments Corp.,BRT,14.975,0.015,0.1003,15.06,14.89,14.89,14.96,2025-08-12 11:55:42
"BioRestorative Therapies, Inc.",BRTX,1.47,0.06,4.2553,1.47,1.405,1.41,1.41,2025-08-12 11:56:09
Can B Corp,CANB,0.0213,0.0002,0.9479,0.0213,0.0213,0.0213,0.0211,2025-08-10 20:00:00
CPI AEROSTRUCTURES INC,CVU,3.165,0.065,2.0968,3.219,3.1,3.1045,3.1,2025-08-12 11:17:18
CVD EQUIPMENT CORP,CVV,3.3311,-0.3489,-9.481,3.92,3.24,3.73,3.68,2025-08-12 11:57:38
"Dime Community Bancshares, Inc. /NY/",DCOM,28.65,1.06,3.842,28.69,27.655,27.78,27.59,2025-08-12 11:58:06
Data Storage Corp,DTST,4.7018,0.0268,0.5733,4.7723,4.66,4.66,4.675,2025-08-12 11:50:25
ENZO BIOCHEM INC,ENZ,0.0,,,0.0,0.0,0.0,0.0,1969-12-31 19:00:00
"Esquire Financial Holdings, Inc.",ESQ,95.48,1.73,1.8453,95.76,93.4,94.05,93.75,2025-08-12 11:31:16
FREQUENCY ELECTRONICS INC,FEIM,30.02,0.85,2.914,30.18,29.0,29.58,29.17,2025-08-12 11:54:33
FLUSHING FINANCIAL CORP,FFIC,12.55,0.37,3.0378,12.56,12.26,12.33,12.18,2025-08-12 11:57:42
"FLAGSTAR FINANCIAL, INC.",FLG,11.875,0.265,2.2825,11.915,11.69,11.73,11.61,2025-08-12 11:58:17
FIRST OF LONG ISLAND CORP,FLIC,0.0,,,0.0,0.0,0.0,0.0,1969-12-31 19:00:00
1 800 FLOWERS COM INC,FLWS,5.615,0.175,3.2169,5.65,5.465,5.52,5.44,2025-08-12 11:54:43
FONAR CORP,FONR,15.32,0.12,0.7895,15.45,15.08,15.28,15.2,2025-08-12 11:53:58
"Forward Industries, Inc.",FORD,13.04,-0.31,-2.3221,13.24,12.48,13.24,13.35,2025-08-12 11:30:22
GLOBAL INDUSTRIAL Co,GIC,35.31,1.13,3.306,35.3999,34.255,34.29,34.18,2025-08-12 11:53:48
"Gyrodyne, LLC",GYRO,10.092,-0.058,-0.5714,10.092,9.9352,9.9352,10.15,2025-08-12 10:57:10
"Hanover Bancorp, Inc. /NY",HNVR,22.05,0.46,2.1306,22.19,21.5,21.5,21.59,2025-08-12 11:34:48
HENRY SCHEIN INC,HSIC,67.47,1.37,2.0726,67.7,66.1035,66.95,66.1,2025-08-12 11:58:21
"Intellicheck, Inc.",IDN,4.9,-0.15,-2.9703,5.1,4.8646,5.1,5.05,2025-08-12 11:57:13
INTELLIGENT PROTECTION MANAGEMENT CORP.,IPM,1.95,0.04,2.0942,1.97,1.901,1.91,1.91,2025-08-12 11:22:32
KIMCO REALTY CORP,KIM,20.9,0.1,0.4808,21.01,20.75,20.75,20.8,2025-08-12 11:58:05
"LIFETIME BRANDS, INC",LCUT,3.91,0.26,7.1233,3.94,3.68,3.77,3.65,2025-08-12 11:54:07
"LIXTE BIOTECHNOLOGY HOLDINGS, INC.",LIXT,4.85,-0.13,-2.6104,4.89,4.71,4.77,4.98,2025-08-12 11:47:35
"MANHATTAN BRIDGE CAPITAL, INC",LOAN,5.4499,0.0655,1.2165,5.4508,5.3511,5.3801,5.3844,2025-08-12 11:07:17
"Mobiquity Technologies, Inc.",MOBQ,1.6,-0.14,-8.046,1.74,1.5,1.74,1.74,2025-08-10 20:00:00
MSC INDUSTRIAL DIRECT CO INC,MSM,86.115,1.215,1.4311,86.115,84.85,84.85,84.9,2025-08-12 11:49:48
"NATHANS FAMOUS, INC.",NATH,101.9,3.03,3.0646,102.1,100.05,100.35,98.87,2025-08-12 11:50:41
NetBrands Corp.,NBND,0.006,0.0001,1.6949,0.00605,0.005,0.0055,0.0059,2025-08-10 20:00:00
"NAPCO SECURITY TECHNOLOGIES, INC",NSSC,30.6954,0.9754,3.282,30.79,29.735,30.12,29.72,2025-08-12 11:58:21
"Nu-Med Plus, Inc.",NUMD,0.0476,-0.0013,-2.6585,0.0495,0.0476,0.0484,0.0489,2025-08-10 20:00:00
"Optimus Healthcare Services, Inc.",OHCS,0.0077,0.0,0.0,0.0077,0.0077,0.0077,0.0077,2025-08-10 20:00:00
ONE LIBERTY PROPERTIES INC,OLP,22.775,0.255,1.1323,22.905,22.5401,22.74,22.52,2025-08-12 11:58:10
"ProPhase Labs, Inc.",PRPH,0.35605,0.07435,26.3933,0.443,0.335,0.417,0.2817,2025-08-12 11:58:21
"Postal Realty Trust, Inc.",PSTL,14.6,0.09,0.6203,14.6241,14.5,14.62,14.51,2025-08-12 11:55:43
Power REIT,PW,1.47,0.02,1.3793,1.5344,1.431,1.44,1.45,2025-08-12 11:56:06
Range Capital Acquisition Corp.,RANG,10.24,-0.02,-0.1949,10.24,10.24,10.24,10.26,2025-08-12 11:44:46
RESEARCH FRONTIERS INC,REFR,1.54,0.04,2.6667,1.5699,1.5,1.5,1.5,2025-08-12 11:38:37
Ranger Gold Corp.,RNGC,0.006,0.0,0.0,0.006,0.006,0.006,0.006,2025-08-10 20:00:00
SCIENTIFIC INDUSTRIES INC,SCND,0.88,0.03,3.5294,0.935,0.88,0.9,0.85,2025-08-10 20:00:00
SURGE COMPONENTS INC,SPRS,2.587,0.07,2.7811,2.6,2.53,2.53,2.517,2025-08-10 20:00:00
Sharps Technology Inc.,STSS,5.31,-0.38,-6.6784,5.65,5.285,5.42,5.69,2025-08-12 11:22:01
UNITED GUARDIAN INC,UG,8.14,0.2899,3.6929,8.14,7.8943,7.8943,7.8501,2025-08-12 11:18:31
VASO Corp,VASO,0.1241,-0.0001,-0.0805,0.1245,0.1241,0.1245,0.1242,2025-08-10 20:00:00
VEECO INSTRUMENTS INC,VECO,24.65,0.79,3.311,24.72,23.795,24.265,23.86,2025-08-12 11:56:51
VOXX International Corp,VOXX,0.0,,,0.0,0.0,0.0,0.0,1969-12-31 19:00:00
VERINT SYSTEMS INC,VRNT,20.07,0.1,0.5008,20.19,19.6,20.17,19.97,2025-08-12 11:58:07
"Beyond Air, Inc.",XAIR,3.16,0.0,0.0,3.3,3.1,3.3,3.16,2025-08-12 11:55:31
